recording_id,segment_idx,disfluency_type,audio_url,text
825780,0,filler_मतलब,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav,अब काफी अच्छा होता है क्योंकि उनकी जनसंख्या बहुत कम दी जा रही है तो हमें उनको देखना था तो एक देखना था मतलब वो तो देखना था लेकिन हमारा प्रोजेक्ट भी था कि जो जन जाती पाई जाती है उधर कि उधर की एरिया में उसके बारे में देखना अब
825780,4,filler_मतलब,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav,हां तो फिर वहां जो दिन भर तो दिन में तो खोजने में वक्त बीत गया। जब रात की बारी आई तो हमने टेंट गड़ा और रहा तो जब पता जैसी रात हुआ ना शाम मतलब छै सात में इतना
825780,6,repetition_अपना,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav,डर लगता है लेकिन बहुत सारे थे तो पता सब अपना अपना कैम्प डाल के रह रहा था और हम अकेली थे क्योंकि हमें बहुत सारा प्रोजेक्ट लिखना था तो हम अकेली बैठे थे कि मुझे करनी भी तो है न क्योंकि वहाँ घूमने तो गए नहीं थे और तो
825780,7,filler_मतलब,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav,ऐसा ही बात था तो पता है रात को मतलब जैसे छः सात आठ किलोमीटर में नौ बजे है नौ उसके बाद लेकिन शांति लेकिन सुकुन बहुत मिला और जैसे सुबह हुआ ना जैसे घर में तो सुबह उठते हैं तो ये काम करो वो काम करो तो
825780,9,filler_मतलब,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav,हम्म हम लोग की तो सुबह होती है की मम्मी उठाने आती है तो वह मम्मी नहीं उठाने के लिए वो लोग उठाने के लिए आए थे। अब पता है कैसे उठाएं उठा के हम को बाहर कर दिया टेंट से बाहर उखाड़ मतलब उखाड़ कर हाँ
825780,10,repetition_बदक,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav,अराम से हां आराम से सो रहे थे हम और पता है जब उठे ना तो ऐसे उन लोग चिला रहे थे तो मेको समझ में आ नहीं रहा था कि क्या बोल रहे ऐसे हुर कुछ हुर कुछ के बदक बदक उड़न्टा साथ कुछ रहे थे
825780,11,repetition_उठा,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav,बहुत अजीब सा अनुभव था क्योंकि वो पता है उठा उठा के उनको पटक रहे थे बार बार और वो किस भाषा में बात कर रहे थे मुझे समझ में नहीं आ रही थे तो जो हमारे गार्ड अंकल थे न वो आके फिर बताए कि नहीं नहीं ये लोग।
825780,13,repetition_फिर,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav,"हां बाहरी आ गया तो, वहां के जो थे ना वो अपने भाषा में कुछ बात किए तो हमको तो कुछ समझ में नहीं आया, लेकिन वो अपने भाषा में बात कर रहे थे तो फिर फिर पता है हम को छोड़ दिए फिर घर घर तो नहीं।"
825780,16,filler_मतलब,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav,और फिर अमेजन का जंगन होता है ना वो उससे भी थोड़ा मतलब जुड़ा हुआ है
825780,23,filler_मतलब,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav,आपको पता है आपको एक बात पता जब तंबू गाड़ के रहते हैं ना हम लोग टेंट वगेरा अगर कहीं भी कैम्पिंग करने जाते हैं तो आसपास की एरिया मतलब कुछ एरिया में थोड़ा पता है आग लहरा देना चाहिए
825727,2,repetition_जी,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav,जी जी जी ।
825727,3,repetition_जी,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav,जी जी जी
825727,7,repetition_जी,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav,जी जी जी
825727,9,repetition_डर,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav,जी डर डर डर लगा
825727,10,filler_मतलब,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav,मतलब होते हैं जंगलों में जब हम किसी जंगलों में एडवेंचर करने जाते हैं जंगलों में हम जब कैंपिंग करने जाते हैं तो इसी रात की माहौल होता है उसे डर तो डर सबको लगता है
825727,11,repetition_जी,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav,जी जी जी आह
825727,12,repetition_जी,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav,जी जी जी।
825727,13,repetition_जी,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav,ही बहुत जी जी हा हा
825727,14,repetition_जी,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav,जी जी
825727,19,filler_मतलब,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav,हा अच्छा अच्छा मतलब एक मतलब अजीब साउन बहुत हाँ ये आपके लिए है न
825727,20,filler_अह,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav,हाहाहाआपको डर भी लग रहा होगा और अजीब ही अहम हुआ था डर भी लग रहा था
825727,21,filler_मतलब,https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav,जो खतरा महसूस उनको लगा है कोई मतलब बाहरी आ गया है कुछ अ कुछ करने आ गया जी जी टी हाँ हाँ जी
